pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.45954452849997546,0.24629352986812592,100.0,50.0,4.0,2
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4625536322316179,0.27947360277175903,200.0,50.0,4.0,2
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.5025277976635935,0.30611279606819153,300.0,50.0,4.0,2
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.34224240886371937,0.062177322804927826,100.0,50.0,4.0,2
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.44356917646042826,0.06757751107215881,200.0,50.0,4.0,2
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.5289797323337058,0.09374512732028961,300.0,50.0,4.0,2
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.5144678306338397,0.07791432738304138,100.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.44366183374709206,0.08044327795505524,200.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.480980957780404,0.08434800058603287,300.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5930823648267606,0.023210586979985237,100.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.6469164730244117,0.028791217133402824,200.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.726321742318772,0.031770363450050354,300.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.7366091560045872,0.21255001425743103,100.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.4844798798935959,0.3025045692920685,200.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.4647342383057723,0.3273075819015503,300.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5204985931412038,0.07147496938705444,100.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.5024253149552008,0.09193025529384613,200.0,50.0,4.0,3
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.38833623790317523,0.07590184360742569,300.0,50.0,4.0,3
burgers,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.2946170442824233,0.06674572825431824,100.0,50.0,4.0,4
burgers,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.4524988464937152,0.07401179522275925,200.0,50.0,4.0,4
burgers,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.47009892338772197,0.08223000168800354,300.0,50.0,4.0,4
burgers,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.6235171042466079,0.023473847657442093,100.0,50.0,4.0,4
burgers,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.7401328471958881,0.03149545192718506,200.0,50.0,4.0,4
burgers,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.6532611619511106,0.02778407745063305,300.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.533807187891014,0.2845996916294098,100.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.46777304161267663,0.28833869099617004,200.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.4100980385689589,0.24518783390522003,300.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.5117379198743203,0.0979151502251625,100.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.5273905472932285,0.09054391831159592,200.0,50.0,4.0,4
burgers,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.5454773747646162,0.111782506108284,300.0,50.0,4.0,4
