pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0040179281495511,0.0368999242782592,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.0053985626436769,0.0431905463337898,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.0667252987623214,0.0176202300935983,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.0211586598306894,0.026223100721836,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0125019783154129,0.0072680972516536,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.251027584075928,0.0160388834774494,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.307014942169189,0.0228341408073902,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.17789363861084,0.023781668394804,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.0007759865256957,0.0559150800108909,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.036783467978239,0.0614596270024776,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0016860594041645,0.0630557090044021,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.007068290375173,0.059157621115446,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.0037818655837327,0.0296642798930406,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.0137619040906429,0.0829795971512794,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.0810752660036087,0.0193185657262802,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.2649238407611847,0.0289166402071714,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.0310299564152956,0.0315653085708618,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0050337542779743,0.0751823633909225,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0010822900803759,0.0645235702395439,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.0045396136119961,0.0452568717300891,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0006939030135981,0.0375142134726047,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.002019865438342,0.0395821332931518,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0005351425497792,0.0357909873127937,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0060386485420167,0.0433509573340415,100.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.0042503960430622,0.0392282158136367,200.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.0048656980507075,0.0370699949562549,300.0,50.0,4.0,2,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.0038667200133204,0.0355111770331859,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0055183907970786,0.0425843708217144,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.0050812023691833,0.0408424511551857,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.0196346174925565,0.0264772698283195,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.0195905249565839,0.0144945792853832,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0825311690568924,0.0331885255873203,300.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.461261510848999,0.0385741032660007,100.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.1502134799957275,0.0207668524235487,200.0,50.0,4.0,3,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,1.9616684913635252,0.0167755167931318,300.0,50.0,4.0,3,poisson_grid_clean
