hv,spacing,nadir_f1,nadir_f2,nadir_f3,experiment,seed
9.999993716653409e-25,0.0,0.2036283435970811,0.0133874696434865,120.000000001,burgers_grid_noisy_s05,1
0.07504439234818502,39.93422019401822,0.45921611253859146,0.01691537713631986,340.0,burgers_grid_noisy_s05,2
0.7912053567226701,37.239965679551084,0.511025079570586,0.04011004362255332,340.0,burgers_grid_noisy_s05,3
0.45479015948186996,86.55471314756133,0.48636456971719877,0.02932253861799835,340.0,burgers_grid_noisy_s05,4
17.009399876887734,39.89172371938626,0.6708499705712682,0.3468123814091086,340.0,burgers_grid_noisy_s10,0
1.3142554683604484,49.906827546471334,0.7008499883295792,0.05438714530318974,340.0,burgers_grid_noisy_s10,1
0.42360315378471236,43.26003395769824,0.6267492755927556,0.0679065402597189,230.0,burgers_grid_noisy_s10,2
1.5047090080850318,49.907252631305596,0.5948057414762272,0.09040187820792193,340.0,burgers_grid_noisy_s10,3
15.623289884546384,0.09600112602634168,0.7415979782922519,0.24363714978098866,340.0,burgers_grid_noisy_s10,4
0.004912964200210115,0.0,0.5268787607764764,0.06531179100275039,210.0,burgers_grid_relobralo,0
9.999993718388132e-25,0.0,0.4557758948637095,0.058607564376426696,100.000000001,burgers_grid_relobralo,1
9.999993718388132e-25,0.0,0.46846492432722303,0.0615008557902107,100.000000001,burgers_grid_relobralo,2
0.011020763908581775,0.0,0.5788823092203582,0.07215618900954719,210.0,burgers_grid_relobralo,3
0.06438472410298764,7.287393416000821e-05,0.5444156120688842,0.07165316566824906,320.0,burgers_grid_relobralo,4
1.0000000823815486e-24,0.0,0.38512640559994704,0.0404919209645519,50.000000001,burgers_moead_clean,0
0.013250831685843852,18.633929763221147,0.5353034074523126,0.08440264724194997,170.0,burgers_moead_clean,1
0.005536938578926191,0.2600977140540574,0.4630145559969342,0.3291893027722835,51.1,burgers_moead_clean,2
1.318972489225572e-12,0.0,0.32889295865096657,0.032637236081063725,50.000000001,burgers_moead_clean,3
1.3493399671198675e-12,0.0,0.32205324041425015,0.03226101696491232,50.000000001,burgers_moead_clean,4
20.016783066885736,21.44617228176295,0.9729796319171056,0.08383964651729908,532.9,burgers_nsga2_clean,0
8.250660418844388,10.188123723552415,1.0042890234702755,0.07413658618461332,319.7,burgers_nsga2_clean,1
12.298153172497134,13.138982511500616,0.9339396081873073,0.08240878721699114,421.8,burgers_nsga2_clean,2
2.665509236409047,50.4690974011779,0.9518441526007215,0.04019264224916688,301.9,burgers_nsga2_clean,3
22.391159894636857,19.90027582947916,1.00698440580726,0.10092650927253997,517.5,burgers_nsga2_clean,4
6.525785267981087,139.60039080606236,0.8691105872898964,0.06339207310229533,497.6,burgers_nsga3_clean,0
2.206630976818414,12.463636072044856,0.842671797726516,0.05273982929065818,320.8,burgers_nsga3_clean,1
1.83817053037251,122.20223543378641,0.7099981922738097,0.058348401822149724,434.7,burgers_nsga3_clean,2
1.1585443432567253,10.977145497061086,0.580731515648242,0.10739602595567703,146.7,burgers_nsga3_clean,3
12.96112198016869,72.5659111646987,0.8042441250764967,0.09995076134800904,509.5,burgers_nsga3_clean,4
0.8301712744284572,37.2384793154487,0.11621476337313648,0.23309461399912826,320.0,poisson2d_grid_clean,0
1.8067474769808862,34.9692291330599,0.15732981674373145,0.2311950653791427,320.0,poisson2d_grid_clean,1
3.0754457253271945,0.04522872856169652,0.18138584457337856,0.2527168720960617,320.0,poisson2d_grid_clean,2
10.266923038105485,0.07185904978304326,0.367037009075284,0.2717446327209473,320.0,poisson2d_grid_clean,3
1.9818995294207769,47.10692825185806,0.3139506060630083,0.1547310747206211,320.0,poisson2d_grid_clean,4
0.2627428626674701,0.022062178920862263,0.10227648309955839,0.04348130766302342,210.0,poisson_grid_clean,0
2.075149141004841e-12,0.0018160245392553765,0.014936119533376691,0.03448836929164817,100.000000001,poisson_grid_clean,1
