pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,hidden_dim,n_layers,experiment,n_seeds,f1_l2_error_mean,f1_l2_error_std,f1_l2_error_min,f1_l2_error_max,f2_pde_residual_mean,f2_pde_residual_std,f2_pde_residual_min,f2_pde_residual_max,f3_data_budget_mean,f3_data_budget_std,f3_data_budget_min,f3_data_budget_max
burgers,nsga2,0.0,0.0,0.1513387388953485,6.073950964118302,341.0,,,,burgers_nsga2_clean,1,0.76780559201439,0.0,0.76780559201439,0.76780559201439,0.0133001878857612,0.0,0.0133001878857612,0.0133001878857612,341.0,0.0,341.0,341.0
burgers,nsga2,0.0,0.0,0.1513387388953485,6.073950964118302,449.0,,,,burgers_nsga2_clean,1,0.8260241875469978,0.0,0.8260241875469978,0.8260241875469978,0.0121994027867913,0.0,0.0121994027867913,0.0121994027867913,449.0,0.0,449.0,449.0
burgers,nsga2,0.0,0.0,0.1520232905293296,9.845371296707714,476.0,,,,burgers_nsga2_clean,1,0.8730744918409435,0.0,0.8730744918409435,0.8730744918409435,0.0082353726029396,0.0,0.0082353726029396,0.0082353726029396,476.0,0.0,476.0,476.0
burgers,nsga2,0.0,0.0,0.1662598276497624,8.132889121763524,461.0,,,,burgers_nsga2_clean,1,0.7155213691943307,0.0,0.7155213691943307,0.7155213691943307,0.0104465316981077,0.0,0.0104465316981077,0.0104465316981077,461.0,0.0,461.0,461.0
burgers,nsga2,0.0,0.0,0.2021910318960498,3.5329400361220267,50.0,,,,burgers_nsga2_clean,1,0.799688212376986,0.0,0.799688212376986,0.799688212376986,0.0235784407705068,0.0,0.0235784407705068,0.0235784407705068,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,0.2021910318960498,3.5329400361220267,108.0,,,,burgers_nsga2_clean,1,0.6211482618327471,0.0,0.6211482618327471,0.6211482618327471,0.0221925769001245,0.0,0.0221925769001245,0.0221925769001245,108.0,0.0,108.0,108.0
burgers,nsga2,0.0,0.0,0.2391430224485607,9.040021083844556,153.0,,,,burgers_nsga2_clean,1,0.855057954425016,0.0,0.855057954425016,0.855057954425016,0.0149109531193971,0.0,0.0149109531193971,0.0149109531193971,153.0,0.0,153.0,153.0
burgers,nsga2,0.0,0.0,0.2810390949050232,9.188651069325774,73.0,,,,burgers_nsga2_clean,1,0.7809134115582176,0.0,0.7809134115582176,0.7809134115582176,0.0119129177182912,0.0,0.0119129177182912,0.0119129177182912,73.0,0.0,73.0,73.0
burgers,nsga2,0.0,0.0,0.2927896091381781,6.468795107350186,297.0,,,,burgers_nsga2_clean,1,0.7615030982746958,0.0,0.7615030982746958,0.7615030982746958,0.0140972984954714,0.0,0.0140972984954714,0.0140972984954714,297.0,0.0,297.0,297.0
burgers,nsga2,0.0,0.0,0.3047777427613392,9.952133339690802,70.0,,,,burgers_nsga2_clean,1,0.7552416279133153,0.0,0.7552416279133153,0.7552416279133153,0.0134803969413042,0.0,0.0134803969413042,0.0134803969413042,70.0,0.0,70.0,70.0
burgers,nsga2,0.0,0.0,0.3173215168306749,8.375005133726098,50.0,,,,burgers_nsga2_clean,1,0.6161395325836421,0.0,0.6161395325836421,0.6161395325836421,0.0164252743124961,0.0,0.0164252743124961,0.0164252743124961,50.0,0.0,50.0,50.0
burgers,nsga2,0.0,0.0,0.3784662113293766,9.31830159558806,105.0,,,,burgers_nsga2_clean,1,0.68793937284294,0.0,0.68793937284294,0.68793937284294,0.0212609637528657,0.0,0.0212609637528657,0.0212609637528657,105.0,0.0,105.0,105.0
burgers,nsga2,0.0,0.0,0.3968891737653644,5.214063731915989,257.0,,,,burgers_nsga2_clean,1,0.6076426215365278,0.0,0.6076426215365278,0.6076426215365278,0.0193827357143163,0.0,0.0193827357143163,0.0193827357143163,257.0,0.0,257.0,257.0
burgers,nsga2,0.0,0.0,0.3968891737653644,9.937573443706366,257.0,,,,burgers_nsga2_clean,1,0.7557286027033708,0.0,0.7557286027033708,0.7557286027033708,0.0144996456801891,0.0,0.0144996456801891,0.0144996456801891,257.0,0.0,257.0,257.0
burgers,nsga2,0.0,0.0,0.4382800018799184,9.428934370344184,93.0,,,,burgers_nsga2_clean,1,0.7741178267822891,0.0,0.7741178267822891,0.7741178267822891,0.0154277151450514,0.0,0.0154277151450514,0.0154277151450514,93.0,0.0,93.0,93.0
burgers,nsga2,0.0,0.0,0.4750340720867417,6.015098438788106,61.0,,,,burgers_nsga2_clean,1,0.6337701489919478,0.0,0.6337701489919478,0.6337701489919478,0.0258212871849536,0.0,0.0258212871849536,0.0258212871849536,61.0,0.0,61.0,61.0
burgers,nsga2,0.0,0.0,0.532366163922579,5.909527838623065,207.0,,,,burgers_nsga2_clean,1,0.5785718627921365,0.0,0.5785718627921365,0.5785718627921365,0.022363256663084,0.0,0.022363256663084,0.022363256663084,207.0,0.0,207.0,207.0
burgers,nsga2,0.0,0.0,0.6094884576492324,9.517258918717308,388.0,,,,burgers_nsga2_clean,1,0.6276185576948702,0.0,0.6276185576948702,0.6276185576948702,0.0196121763437986,0.0,0.0196121763437986,0.0196121763437986,388.0,0.0,388.0,388.0
burgers,nsga2,0.0,0.0,0.6094884576492324,9.644512675507825,67.0,,,,burgers_nsga2_clean,1,0.6693966653637998,0.0,0.6693966653637998,0.6693966653637998,0.024603446945548,0.0,0.024603446945548,0.024603446945548,67.0,0.0,67.0,67.0
burgers,nsga2,0.0,0.0,0.6851140701141719,9.837483683164605,268.0,,,,burgers_nsga2_clean,1,0.7497592068339054,0.0,0.7497592068339054,0.7497592068339054,0.0227066166698932,0.0,0.0227066166698932,0.0227066166698932,268.0,0.0,268.0,268.0
