pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,seed
burgers,nsga2,0,0.0,0.04828204470325908,3.0689884493221036,279,0.8890452101963646,0.005251551046967506,279.0,3
burgers,nsga2,0,0.0,0.2021910318960498,3.5329400361220267,50,0.799688212376986,0.02357844077050686,50.0,3
burgers,nsga2,0,0.0,6.3181440939154205,2.776387719380274,50,0.3185046221511383,0.028717651963233948,50.0,3
burgers,nsga2,0,0.0,0.12218061201288011,3.5329400361220267,50,0.8356030009044109,0.016658136621117592,50.0,3
burgers,nsga2,0,0.0,0.15202329052932964,9.845371296707714,476,0.8730744918409435,0.008235372602939606,476.0,4
burgers,nsga2,0,0.0,0.0020178481871755416,6.351342337577274,166,0.9410408696852421,0.0008386843255721033,166.0,4
burgers,nsga2,0,0.0,9.817462411759715,6.073950964118302,61,0.344155500764344,0.09182761609554291,61.0,4
burgers,nsga2,0,0.0,9.567554402430826,6.373977228864657,157,0.2816055084650635,0.0741017535328865,157.0,4
burgers,nsga2,0,0.0,0.8092794029321263,6.073950964118302,219,0.5391475657439714,0.02623853273689747,219.0,4
burgers,nsga2,0,0.0,9.105846743589858,4.7832478706649955,98,0.4373502776491152,0.04848688095808029,98.0,4
burgers,nsga2,0,0.0,0.1513387388953485,6.073950964118302,341,0.76780559201439,0.013300187885761261,341.0,4
burgers,nsga2,0,0.0,0.6851140701141719,9.837483683164605,268,0.7497592068339054,0.022706616669893265,268.0,4
burgers,nsga2,0,0.0,0.1513387388953485,6.073950964118302,449,0.8260241875469978,0.012199402786791325,449.0,4
burgers,nsga2,0,0.0,9.703959201354524,9.962476799326028,111,0.3284369812476064,0.05804411694407463,111.0,4
burgers,nsga2,0,0.0,9.105846743589858,5.0334435035505285,96,0.38850581634277004,0.08010683208703995,96.0,4
burgers,nsga2,0,0.0,9.345246512406003,5.113764200590802,117,0.31442289804741225,0.053912512958049774,117.0,4
burgers,nsga2,0,0.0,0.4750340720867417,6.015098438788106,61,0.6337701489919478,0.02582128718495369,61.0,4
burgers,nsga2,0,0.0,0.6851140701141719,9.92505073619974,265,0.6743417374175085,0.02376936934888363,265.0,4
burgers,nsga2,0,0.0,0.3047777427613392,9.952133339690802,70,0.7552416279133153,0.013480396941304207,70.0,4
