pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson2d,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.10544010996818542,0.12555918097496033,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.13147376477718353,0.10887785255908966,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.09701335430145264,0.15429559350013733,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.13995786011219025,0.12041184306144714,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.16754981875419617,0.1704612523317337,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.15324048697948456,0.14159634709358215,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.5357787609100342,0.14371070265769958,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.30115148425102234,0.13640537858009338,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.34388330578804016,0.13222084939479828,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.04662422090768814,0.23873771727085114,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.03012124076485634,0.1932334452867508,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.037080068141222,0.17301242053508759,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.11246419697999954,0.10894864052534103,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.1191069558262825,0.14493083953857422,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.12878355383872986,0.14159885048866272,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.167634516954422,0.09894616901874542,100.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.14319957792758942,0.1397297978401184,200.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.12406689673662186,0.14409348368644714,300.0,50.0,4.0,2
poisson2d,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.14377765357494354,0.11303721368312836,100.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.1459534615278244,0.13391907513141632,200.0,50.0,4.0,3
poisson2d,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.12978172302246094,0.13819222152233124,300.0,50.0,4.0,3
